domain	identity	targets	optimizer_effect	memory	access	provenance	ordering	failure	abi	obligation	witness	disposition	source_site
reg_scratch_role	FloatArithmeticRhsXmm	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatArithmeticRhsXmm
reg_scratch_role	FloatCompareLhsXmm	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatCompareLhsXmm
reg_scratch_role	FloatCompareRhsXmm	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatCompareRhsXmm
reg_scratch_role	FloatCompareResultGp	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatCompareResultGp
reg_scratch_role	FloatUnaryResultXmm	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatUnaryResultXmm
reg_scratch_role	FloatReturnResultXmm	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatReturnResultXmm
reg_scratch_role	FloatReturnResultGp	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatReturnResultGp
reg_scratch_role	ScalarPrimary	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.ScalarPrimary
reg_scratch_role	ScalarSecondary	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.ScalarSecondary
reg_scratch_role	ScalarTertiary	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.ScalarTertiary
reg_scratch_role	FixedRax	both	n/a	none	fixed-register	live-interval	ordered-abi	spill-or-reject	regalloc	fixed RAX RDX RCX reservations exclude competing live values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FixedRax
reg_scratch_role	FixedRdx	both	n/a	none	fixed-register	live-interval	ordered-abi	spill-or-reject	regalloc	fixed RAX RDX RCX reservations exclude competing live values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FixedRdx
reg_scratch_role	FixedRcx	both	n/a	none	fixed-register	live-interval	ordered-abi	spill-or-reject	regalloc	fixed RAX RDX RCX reservations exclude competing live values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FixedRcx
reg_scratch_role	BranchTest	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.BranchTest
reg_scratch_role	CpuIdSave	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.CpuIdSave
